beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
SPORT 2000 FRANCE;4763;0
AXENERGIE;4763;0
BIGMAT FRANCE;4763;0
LA MAISON DES SERVICES A LA PERSONNE - CONFORT;4763;0
HOLDING DE PHARMARCIE INDEPENDANTES;4763;0
MYHUISCOMPAGNIE;4763;0
COMPAGNIE GENERALE D'IMAGERIE MEDICALE - CGIM;4763;0
SOCOPHARM REUNION;4763;0
ELSIE GROUPE;4763;0
CARRELIA DEVELOPPEMENT;4763;0
GROUPE INTERSPORT;4763;0
ITM ENTREPRISES SA;4763;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4763;0
FRANCE MATERNITE;4763;0
ENTENTE PROF SPECIALISTES ENF;4763;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4763;0
EK FRANCE SARL;4763;0
EUROPEENNE D HOTELLERIE;4763;0
GENERALE D EXPANSION;4763;0
UNIFRANCE;4763;0
ATOL;4763;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4763;0
SOCIETE D'ACHATS PHOTO CINE;4763;0
KRYS GROUP SERVICES;4763;0
SYNALIA;4763;0
ENTENDRE;4763;0
SELECTOUR AFAT ENTREPRISE;4763;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4763;0
SA COOPERATIVE EUROPECHE;4763;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4763;0
MAPOTEL SA;4763;0
ANWR-GARANT FRANCE;4763;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4763;0
COOPERATIVE U ENSEIGNE;4763;0
ASS CENTR DISTRIBUT E LECLERC;4763;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4763;0
ASTERA;4763;0
GIROPHARM;4763;0
BIOMONDE SOLIDARITE;4763;0
GROUPE WELCOOP;4763;0
ESPACE COOPERATIVE;4764;0
EURO PISCINE SERVICES;4764;0
EX&CO;4764;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4764;0
MONSIEUR JARDINAGE;4764;0
ACTURA;4764;0
EDRA;4764;0
GASEL;4764;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4764;0
HEXA PLUS SANTE;4764;0
GADOL OPTIC 2000;4764;0
ALKOR;4764;0
J AIME MON COURTIER;4764;0
COMPAGNIE DES ARCHITECTEURS;4764;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4764;0
ORFI FRANCE;4764;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4764;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4764;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4764;0
SPORT 2000 FRANCE;4764;0
AXENERGIE;4764;0
BIGMAT FRANCE;4764;0
LA MAISON DES SERVICES A LA PERSONNE - CONFORT;4764;0
HOLDING DE PHARMARCIE INDEPENDANTES;4764;0
MYHUISCOMPAGNIE;4764;0
COMPAGNIE GENERALE D'IMAGERIE MEDICALE - CGIM;4764;0
SOCOPHARM REUNION;4764;0
ELSIE GROUPE;4764;0
CARRELIA DEVELOPPEMENT;4764;0
GROUPE INTERSPORT;4764;0
ITM ENTREPRISES SA;4764;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4764;0
FRANCE MATERNITE;4764;0
ENTENTE PROF SPECIALISTES ENF;4764;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4764;0
EK FRANCE SARL;4764;0
EUROPEENNE D HOTELLERIE;4764;0
GENERALE D EXPANSION;4764;0
UNIFRANCE;4764;0
ATOL;4764;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4764;0
SOCIETE D'ACHATS PHOTO CINE;4764;0
KRYS GROUP SERVICES;4764;0
SYNALIA;4764;0
ENTENDRE;4764;0
SELECTOUR AFAT ENTREPRISE;4764;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4764;0
SA COOPERATIVE EUROPECHE;4764;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4764;0
MAPOTEL SA;4764;0
ANWR-GARANT FRANCE;4764;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4764;0
COOPERATIVE U ENSEIGNE;4764;0
ASS CENTR DISTRIBUT E LECLERC;4764;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4764;0
ASTERA;4764;0
GIROPHARM;4764;0
BIOMONDE SOLIDARITE;4764;0
GROUPE WELCOOP;4764;0
GROUPE INTERSPORT;4765;0
ITM ENTREPRISES SA;4765;0
STARTER LES NOUVEAUX DISQUAIRES;4765;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4765;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4765;0
FRANCE MATERNITE;4765;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4765;0
ENTENTE PROF SPECIALISTES ENF;4765;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4765;0
EK FRANCE SARL;4765;0
EUROPEENNE D HOTELLERIE;4765;0
GENERALE D EXPANSION;4765;0
UNIFRANCE;4765;0
ATOL;4765;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4765;0
SOCIETE D'ACHATS PHOTO CINE;4765;0
KRYS GROUP SERVICES;4765;0
SYNALIA;4765;0
ENTENDRE;4765;0
SELECTOUR AFAT ENTREPRISE;4765;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4765;0
SA COOPERATIVE EUROPECHE;4765;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4765;0
MAPOTEL SA;4765;0
ANWR-GARANT FRANCE;4765;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4765;0
COOPERATIVE U ENSEIGNE;4765;0
ASS CENTR DISTRIBUT E LECLERC;4765;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4765;0
ASTERA;4765;0
GIROPHARM;4765;0
BIOMONDE SOLIDARITE;4765;0
GROUPE WELCOOP;4765;0
ESPACE COOPERATIVE;4765;0
EURO PISCINE SERVICES;4765;0
EX&CO;4765;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4765;0
MONSIEUR JARDINAGE;4765;0
ACTURA;4765;0
EDRA;4765;0
GASEL;4765;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4765;0
HEXA PLUS SANTE;4765;0
GADOL OPTIC 2000;4765;0
ALKOR;4765;0
J AIME MON COURTIER;4765;0
COMPAGNIE DES ARCHITECTEURS;4765;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4765;0
LES GENTLEMEN DU DEMENAGEMENT;4765;0
ORFI FRANCE;4765;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4765;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4765;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4765;0
COOPERATIVE DES GOLFS INDEPENDANTS;4765;0
SPORT 2000 FRANCE;4765;0
AXENERGIE;4765;0
CARRELIA DEVELOPPEMENT;4765;0
ESPACE COOPERATIVE;4766;0
EURO PISCINE SERVICES;4766;0
EX&CO;4766;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4766;0
MONSIEUR JARDINAGE;4766;0
ACTURA;4766;0
EDRA;4766;0
GASEL;4766;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4766;0
HEXA PLUS SANTE;4766;0
GADOL OPTIC 2000;4766;0
ALKOR;4766;0
J AIME MON COURTIER;4766;0
COMPAGNIE DES ARCHITECTEURS;4766;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4766;0
LES GENTLEMEN DU DEMENAGEMENT;4766;0
ORFI FRANCE;4766;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4766;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4766;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4766;0
COOPERATIVE DES GOLFS INDEPENDANTS;4766;0
SPORT 2000 FRANCE;4766;0
AXENERGIE;4766;0
CARRELIA DEVELOPPEMENT;4766;0
GROUPE INTERSPORT;4766;0
ITM ENTREPRISES SA;4766;0
STARTER LES NOUVEAUX DISQUAIRES;4766;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4766;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4766;0
FRANCE MATERNITE;4766;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4766;0
ENTENTE PROF SPECIALISTES ENF;4766;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4766;0
EK FRANCE SARL;4766;0
EUROPEENNE D HOTELLERIE;4766;0
GENERALE D EXPANSION;4766;0
UNIFRANCE;4766;0
ATOL;4766;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4766;0
SOCIETE D'ACHATS PHOTO CINE;4766;0
KRYS GROUP SERVICES;4766;0
SYNALIA;4766;0
ENTENDRE;4766;0
SELECTOUR AFAT ENTREPRISE;4766;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4766;0
SA COOPERATIVE EUROPECHE;4766;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4766;0
MAPOTEL SA;4766;0
ANWR-GARANT FRANCE;4766;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4766;0
COOPERATIVE U ENSEIGNE;4766;0
ASS CENTR DISTRIBUT E LECLERC;4766;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4766;0
ASTERA;4766;0
GIROPHARM;4766;0
BIOMONDE SOLIDARITE;4766;0
GROUPE WELCOOP;4766;0
GROUPE INTERSPORT;4767;0
ITM ENTREPRISES SA;4767;0
STARTER LES NOUVEAUX DISQUAIRES;4767;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4767;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4767;0
FRANCE MATERNITE;4767;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4767;0
ENTENTE PROF SPECIALISTES ENF;4767;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4767;0
EK FRANCE SARL;4767;0
EUROPEENNE D HOTELLERIE;4767;0
GENERALE D EXPANSION;4767;0
UNIFRANCE;4767;0
ATOL;4767;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4767;0
SOCIETE D'ACHATS PHOTO CINE;4767;0
KRYS GROUP SERVICES;4767;0
SYNALIA;4767;0
ENTENDRE;4767;0
SELECTOUR AFAT ENTREPRISE;4767;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4767;0
SA COOPERATIVE EUROPECHE;4767;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4767;0
MAPOTEL SA;4767;0
ANWR-GARANT FRANCE;4767;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4767;0
COOPERATIVE U ENSEIGNE;4767;0
ASS CENTR DISTRIBUT E LECLERC;4767;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4767;0
ASTERA;4767;0
GIROPHARM;4767;0
BIOMONDE SOLIDARITE;4767;0
GROUPE WELCOOP;4767;0
ESPACE COOPERATIVE;4767;0
EURO PISCINE SERVICES;4767;0
EX&CO;4767;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4767;0
MONSIEUR JARDINAGE;4767;0
ACTURA;4767;0
EDRA;4767;0
GASEL;4767;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4767;0
HEXA PLUS SANTE;4767;0
GADOL OPTIC 2000;4767;0
ALKOR;4767;0
J AIME MON COURTIER;4767;0
COMPAGNIE DES ARCHITECTEURS;4767;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4767;0
LES GENTLEMEN DU DEMENAGEMENT;4767;0
ORFI FRANCE;4767;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4767;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4767;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4767;0
COOPERATIVE DES GOLFS INDEPENDANTS;4767;0
SPORT 2000 FRANCE;4767;0
AXENERGIE;4767;0
CARRELIA DEVELOPPEMENT;4767;0
GROUPE INTERSPORT;4768;0
ITM ENTREPRISES SA;4768;0
STARTER LES NOUVEAUX DISQUAIRES;4768;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4768;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4768;0
FRANCE MATERNITE;4768;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4768;0
ENTENTE PROF SPECIALISTES ENF;4768;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4768;0
EK FRANCE SARL;4768;0
EUROPEENNE D HOTELLERIE;4768;0
GENERALE D EXPANSION;4768;0
UNIFRANCE;4768;0
ATOL;4768;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4768;0
SOCIETE D'ACHATS PHOTO CINE;4768;0
KRYS GROUP SERVICES;4768;0
SYNALIA;4768;0
ENTENDRE;4768;0
SELECTOUR AFAT ENTREPRISE;4768;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4768;0
SA COOPERATIVE EUROPECHE;4768;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4768;0
MAPOTEL SA;4768;0
ANWR-GARANT FRANCE;4768;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4768;0
COOPERATIVE U ENSEIGNE;4768;0
ASS CENTR DISTRIBUT E LECLERC;4768;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4768;0
ASTERA;4768;0
GIROPHARM;4768;0
BIOMONDE SOLIDARITE;4768;0
GROUPE WELCOOP;4768;0
ESPACE COOPERATIVE;4768;0
EURO PISCINE SERVICES;4768;0
EX&CO;4768;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4768;0
MONSIEUR JARDINAGE;4768;0
ACTURA;4768;0
EDRA;4768;0
GASEL;4768;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4768;0
HEXA PLUS SANTE;4768;0
GADOL OPTIC 2000;4768;0
ALKOR;4768;0
J AIME MON COURTIER;4768;0
COMPAGNIE DES ARCHITECTEURS;4768;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4768;0
LES GENTLEMEN DU DEMENAGEMENT;4768;0
ORFI FRANCE;4768;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4768;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4768;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4768;0
COOPERATIVE DES GOLFS INDEPENDANTS;4768;0
SPORT 2000 FRANCE;4768;0
AXENERGIE;4768;0
CARRELIA DEVELOPPEMENT;4768;0
GROUPE INTERSPORT;4769;0
ITM ENTREPRISES SA;4769;0
STARTER LES NOUVEAUX DISQUAIRES;4769;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4769;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4769;0
FRANCE MATERNITE;4769;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4769;0
ENTENTE PROF SPECIALISTES ENF;4769;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4769;0
EK FRANCE SARL;4769;0
EUROPEENNE D HOTELLERIE;4769;0
GENERALE D EXPANSION;4769;0
UNIFRANCE;4769;0
ATOL;4769;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4769;0
SOCIETE D'ACHATS PHOTO CINE;4769;0
KRYS GROUP SERVICES;4769;0
SYNALIA;4769;0
ENTENDRE;4769;0
SELECTOUR AFAT ENTREPRISE;4769;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4769;0
SA COOPERATIVE EUROPECHE;4769;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4769;0
MAPOTEL SA;4769;0
ANWR-GARANT FRANCE;4769;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4769;0
COOPERATIVE U ENSEIGNE;4769;0
ASS CENTR DISTRIBUT E LECLERC;4769;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4769;0
ASTERA;4769;0
GIROPHARM;4769;0
BIOMONDE SOLIDARITE;4769;0
GROUPE WELCOOP;4769;0
ESPACE COOPERATIVE;4769;0
EURO PISCINE SERVICES;4769;0
EX&CO;4769;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4769;0
MONSIEUR JARDINAGE;4769;0
ACTURA;4769;0
EDRA;4769;0
GASEL;4769;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4769;0
HEXA PLUS SANTE;4769;0
GADOL OPTIC 2000;4769;0
ALKOR;4769;0
J AIME MON COURTIER;4769;0
COMPAGNIE DES ARCHITECTEURS;4769;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4769;0
LES GENTLEMEN DU DEMENAGEMENT;4769;0
ORFI FRANCE;4769;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4769;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4769;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4769;0
COOPERATIVE DES GOLFS INDEPENDANTS;4769;0
SPORT 2000 FRANCE;4769;0
AXENERGIE;4769;0
CARRELIA DEVELOPPEMENT;4769;0
ESPACE COOPERATIVE;4770;0
EURO PISCINE SERVICES;4770;0
EX&CO;4770;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4770;0
MONSIEUR JARDINAGE;4770;0
ACTURA;4770;0
EDRA;4770;0
GASEL;4770;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4770;0
HEXA PLUS SANTE;4770;0
GADOL OPTIC 2000;4770;0
ALKOR;4770;0
J AIME MON COURTIER;4770;0
COMPAGNIE DES ARCHITECTEURS;4770;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4770;0
ORFI FRANCE;4770;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4770;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4770;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4770;0
COOPERATIVE DES GOLFS INDEPENDANTS;4770;0
SPORT 2000 FRANCE;4770;0
AXENERGIE;4770;0
BIGMAT FRANCE;4770;0
CARRELIA DEVELOPPEMENT;4770;0
GROUPE INTERSPORT;4770;0
ITM ENTREPRISES SA;4770;0
STARTER LES NOUVEAUX DISQUAIRES;4770;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4770;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4770;0
FRANCE MATERNITE;4770;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4770;0
ENTENTE PROF SPECIALISTES ENF;4770;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4770;0
EK FRANCE SARL;4770;0
EUROPEENNE D HOTELLERIE;4770;0
GENERALE D EXPANSION;4770;0
UNIFRANCE;4770;0
ATOL;4770;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4770;0
SOCIETE D'ACHATS PHOTO CINE;4770;0
KRYS GROUP SERVICES;4770;0
SYNALIA;4770;0
ENTENDRE;4770;0
SELECTOUR AFAT ENTREPRISE;4770;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4770;0
SA COOPERATIVE EUROPECHE;4770;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4770;0
MAPOTEL SA;4770;0
ANWR-GARANT FRANCE;4770;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4770;0
COOPERATIVE U ENSEIGNE;4770;0
ASS CENTR DISTRIBUT E LECLERC;4770;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4770;0
ASTERA;4770;0
GIROPHARM;4770;0
BIOMONDE SOLIDARITE;4770;0
GROUPE WELCOOP;4770;0
ESPACE COOPERATIVE;4771;0
EURO PISCINE SERVICES;4771;0
EX&CO;4771;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4771;0
MONSIEUR JARDINAGE;4771;0
ACTURA;4771;0
EDRA;4771;0
GASEL;4771;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4771;0
HEXA PLUS SANTE;4771;0
GADOL OPTIC 2000;4771;0
ALKOR;4771;0
J AIME MON COURTIER;4771;0
COMPAGNIE DES ARCHITECTEURS;4771;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4771;0
ORFI FRANCE;4771;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4771;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4771;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4771;0
COOPERATIVE DES GOLFS INDEPENDANTS;4771;0
SPORT 2000 FRANCE;4771;0
AXENERGIE;4771;0
BIGMAT FRANCE;4771;0
CARRELIA DEVELOPPEMENT;4771;0
GROUPE INTERSPORT;4771;0
ITM ENTREPRISES SA;4771;0
STARTER LES NOUVEAUX DISQUAIRES;4771;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4771;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4771;0
FRANCE MATERNITE;4771;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4771;0
ENTENTE PROF SPECIALISTES ENF;4771;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4771;0
EK FRANCE SARL;4771;0
EUROPEENNE D HOTELLERIE;4771;0
GENERALE D EXPANSION;4771;0
UNIFRANCE;4771;0
ATOL;4771;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4771;0
SOCIETE D'ACHATS PHOTO CINE;4771;0
KRYS GROUP SERVICES;4771;0
SYNALIA;4771;0
ENTENDRE;4771;0
SELECTOUR AFAT ENTREPRISE;4771;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4771;0
SA COOPERATIVE EUROPECHE;4771;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4771;0
MAPOTEL SA;4771;0
ANWR-GARANT FRANCE;4771;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4771;0
COOPERATIVE U ENSEIGNE;4771;0
ASS CENTR DISTRIBUT E LECLERC;4771;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4771;0
ASTERA;4771;0
GIROPHARM;4771;0
BIOMONDE SOLIDARITE;4771;0
GROUPE WELCOOP;4771;0
ESPACE COOPERATIVE;4772;0
EURO PISCINE SERVICES;4772;0
EX&CO;4772;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4772;0
MONSIEUR JARDINAGE;4772;0
ACTURA;4772;0
EDRA;4772;0
GASEL;4772;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4772;0
HEXA PLUS SANTE;4772;0
GADOL OPTIC 2000;4772;0
ALKOR;4772;0
J AIME MON COURTIER;4772;0
COMPAGNIE DES ARCHITECTEURS;4772;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4772;0
ORFI FRANCE;4772;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4772;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4772;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4772;0
COOPERATIVE DES GOLFS INDEPENDANTS;4772;0
SPORT 2000 FRANCE;4772;0
AXENERGIE;4772;0
BIGMAT FRANCE;4772;0
CARRELIA DEVELOPPEMENT;4772;0
GROUPE INTERSPORT;4772;0
ITM ENTREPRISES SA;4772;0
STARTER LES NOUVEAUX DISQUAIRES;4772;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4772;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4772;0
FRANCE MATERNITE;4772;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4772;0
ENTENTE PROF SPECIALISTES ENF;4772;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4772;0
EK FRANCE SARL;4772;0
EUROPEENNE D HOTELLERIE;4772;0
GENERALE D EXPANSION;4772;0
UNIFRANCE;4772;0
ATOL;4772;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4772;0
SOCIETE D'ACHATS PHOTO CINE;4772;0
KRYS GROUP SERVICES;4772;0
SYNALIA;4772;0
ENTENDRE;4772;0
SELECTOUR AFAT ENTREPRISE;4772;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4772;0
SA COOPERATIVE EUROPECHE;4772;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4772;0
MAPOTEL SA;4772;0
ANWR-GARANT FRANCE;4772;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4772;0
COOPERATIVE U ENSEIGNE;4772;0
ASS CENTR DISTRIBUT E LECLERC;4772;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4772;0
ASTERA;4772;0
GIROPHARM;4772;0
BIOMONDE SOLIDARITE;4772;0
GROUPE WELCOOP;4772;0
ESPACE COOPERATIVE;4773;0
EURO PISCINE SERVICES;4773;0
EX&CO;4773;0
SCM SOCIETE COOPERATIVE DU MEUBLE;4773;0
MONSIEUR JARDINAGE;4773;0
ACTURA;4773;0
EDRA;4773;0
GASEL;4773;0
GROUPEMENT DES INSTALLATEURS FRANCAIS;4773;0
HEXA PLUS SANTE;4773;0
GADOL OPTIC 2000;4773;0
ALKOR;4773;0
J AIME MON COURTIER;4773;0
COMPAGNIE DES ARCHITECTEURS;4773;0
L'ADRESSE DES CONSEILS IMMOBILIERS;4773;0
ORFI FRANCE;4773;0
SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;4773;0
SOC COOPE RENOVATION EQUIPEMENT COMMERCE;4773;0
UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;4773;0
COOPERATIVE DES GOLFS INDEPENDANTS;4773;0
SPORT 2000 FRANCE;4773;0
AXENERGIE;4773;0
BIGMAT FRANCE;4773;0
CARRELIA DEVELOPPEMENT;4773;0
GROUPE INTERSPORT;4773;0
ITM ENTREPRISES SA;4773;0
STARTER LES NOUVEAUX DISQUAIRES;4773;0
SA COOPERATIVE D'OPTICIENS LUNETIERS;4773;0
SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;4773;0
FRANCE MATERNITE;4773;0
S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);4773;0
ENTENTE PROF SPECIALISTES ENF;4773;0
COMPTOIR FRANCAIS DE LA QUINCAILLERIE;4773;0
EK FRANCE SARL;4773;0
EUROPEENNE D HOTELLERIE;4773;0
GENERALE D EXPANSION;4773;0
UNIFRANCE;4773;0
ATOL;4773;0
COOPERATIVE PARFUMEURS PASSION BEAUTE;4773;0
SOCIETE D'ACHATS PHOTO CINE;4773;0
KRYS GROUP SERVICES;4773;0
SYNALIA;4773;0
ENTENDRE;4773;0
SELECTOUR AFAT ENTREPRISE;4773;0
GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;4773;0
SA COOPERATIVE EUROPECHE;4773;0
CENTRALE EUROPEENNE DE DISTRIBUTION - C10;4773;0
MAPOTEL SA;4773;0
ANWR-GARANT FRANCE;4773;0
SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;4773;0
COOPERATIVE U ENSEIGNE;4773;0
ASS CENTR DISTRIBUT E LECLERC;4773;0
SOCIETE ANONYME COOPERATIVE GIPHAR;4773;0
